,Title,Releasing year,Watch Time,Rating,Genre,Votes,Synopsis,Cast,Director
0,Dune: Part One,2021,155 min,8.3,"Action, Adventure, Drama","255,715","Feature adaptation of Frank Herbert's science fiction novel, about the son of a noble family entrusted with the protection of the most valuable asset and most vital element in the galaxy.","['Denis Villeneuve', 'Timothée Chalamet', 'Rebecca Ferguson', 'Zendaya', 'Oscar Isaac']",Timothée Chalamet
1,You,2018–,45 min,7.7,"Crime, Drama, Romance","191,080","A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.","['Penn Badgley', 'Victoria Pedretti', 'Ambyr Childers', 'Elizabeth Lail']",Victoria Pedretti
2,Squid Game,2021,60 min,8.1,"Action, Drama, Mystery","271,416","Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits with deadly high stakes. A survival game that has a whopping 45.6 billion-won prize at stake.","['Lee Jung-jae', 'Park Hae-soo', 'Greg Chun', 'Stephen Fu']",Park Hae-soo
3,Dune,1984,137 min,6.4,"Action, Adventure, Sci-Fi","147,991",A Duke's son leads desert warriors against the galactic emperor and his father's evil nemesis to free their desert world from the emperor's rule.,"['David Lynch', 'Kyle MacLachlan', 'Virginia Madsen', 'Francesca Annis', 'Leonardo Cimino']",Kyle MacLachlan
4,Eternals,2021,157 min,Not rated,"Action, Adventure, Drama",Not voted,"The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.",[],Unknown
5,Locke & Key,2020–,48 min,7.4,"Drama, Fantasy, Horror","58,329","After their father is murdered under mysterious circumstances, the three Locke siblings and their mother move into their ancestral home, Keyhouse, which they discover is full of magical keys that may be connected to their father's death.","['Darby Stanchfield', 'Connor Jessup', 'Emilia Jones', 'Jackson Robert Scott']",Connor Jessup
6,Succession,2018–,60 min,8.7,Drama,"73,563","The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company.","['Nicholas Braun', 'Brian Cox', 'Kieran Culkin', 'Peter Friedman']",Brian Cox
7,No Time to Die,2021,163 min,7.5,"Action, Adventure, Thriller","140,492","James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.","['Cary Joji Fukunaga', 'Daniel Craig', 'Ana de Armas', 'Rami Malek', 'Léa Seydoux']",Daniel Craig
8,Halloween Kills,2021,105 min,5.7,"Horror, Thriller","49,359",The saga of Michael Myers and Laurie Strode continues in the next thrilling chapter of the Halloween series.,"['David Gordon Green', 'Jamie Lee Curtis', 'Judy Greer', 'Andi Matichak', 'James Jude Courtney']",Jamie Lee Curtis
9,The French Dispatch,2021,108 min,7.5,"Comedy, Drama, Romance","11,827","A love letter to journalists set in an outpost of an American newspaper in a fictional twentieth century French city that brings to life a collection of stories published in ""The French Dispatch Magazine"".","['Wes Anderson', 'Benicio Del Toro', 'Adrien Brody', 'Tilda Swinton', 'Léa Seydoux']",Benicio Del Toro
10,Maid,2021,545 min,8.5,Drama,"35,758","After fleeing an abusive relationship, a young mother finds a job cleaning houses as she fights to provide for her child and build them a better future.","['Margaret Qualley', 'Nick Robinson', 'Rylea Nevaeh Whittet', 'Andie MacDowell']",Nick Robinson
11,Last Night in Soho,2021,116 min,7.6,"Drama, Horror, Mystery","9,676",An aspiring fashion designer is mysteriously able to enter the 1960s where she encounters a dazzling wannabe singer. But the glamour is not all it appears to be and the dreams of the past start to crack and splinter into something darker.,"['Edgar Wright', 'Thomasin McKenzie', 'Anya Taylor-Joy', 'Matt Smith', 'Diana Rigg']",Thomasin McKenzie
12,Invasion,2021–,60 min,5.7,"Drama, Fantasy, Sci-Fi","6,541",Earth is visited by an alien species that threatens humanity's existence. Events unfold in real time through the eyes of five ordinary people across the globe as they struggle to make sense of the chaos unraveling around them.,"['Azhy Robertson', 'Tara Moayedi', 'Daisuke Tsuji', 'Billy Barratt']",Tara Moayedi
13,Midnight Mass,2021,450 min,7.7,"Drama, Fantasy, Horror","65,312","An isolated island community experiences miraculous events - and frightening omens - after the arrival of a charismatic, mysterious young priest.","['Kate Siegel', 'Zach Gilford', 'Kristin Lehman', 'Samantha Sloyan']",Zach Gilford
14,The Last Duel,2021,152 min,7.7,"Action, Drama, History","18,468",King Charles VI declares that Knight Jean de Carrouges settle his dispute with his squire by challenging him to a duel.,"['Ridley Scott', 'Matt Damon', 'Adam Driver', 'Jodie Comer', 'Harriet Walter']",Matt Damon
15,Inside Job,2021–,30 min,7.8,"Animation, Comedy, Fantasy","4,333","For employees of the Deep State, conspiracies aren't just theories they're fact. And keeping them a secret is a full-time job.","['Lizzy Caplan', 'Christian Slater', 'Clark Duke', 'Tisha Campbell']",Christian Slater
16,Ted Lasso,2020–,30 min,8.8,"Comedy, Drama, Sport","126,988","American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League soccer team.","['Jason Sudeikis', 'Brett Goldstein', 'Brendan Hunt', 'Nick Mohammed']",Brett Goldstein
17,Night Teeth,2021,107 min,5.6,"Action, Crime, Drama","9,756","A college student moonlighting as a chauffeur picks up two mysterious women for a night of party-hopping across LA. But when he uncovers their bloodthirsty intentions - and their dangerous, shadowy underworld - he must fight to stay alive.","['Adam Randall', 'Jorge Lendeborg Jr.', 'Debby Ryan', 'Lucy Fry', 'Raúl Castillo']",Jorge Lendeborg Jr.
18,Army of Thieves,2021,127 min,6.4,"Action, Comedy, Crime","16,181","A prequel, set before the events of Army of the Dead, which focuses on German safecracker Ludwig Dieter leading a group of aspiring thieves on a top secret heist during the early stages of the zombie apocalypse.","['Matthias Schweighöfer', 'Matthias Schweighöfer', 'Nathalie Emmanuel', 'Ruby O. Fee', 'Stuart Martin']",Matthias Schweighöfer
19,Venom: Let There Be Carnage,2021,97 min,6.3,"Action, Adventure, Sci-Fi","51,034","Eddie Brock attempts to reignite his career by interviewing serial killer Cletus Kasady, who becomes the host of the symbiote Carnage and escapes prison after a failed execution.","['Andy Serkis', 'Tom Hardy', 'Woody Harrelson', 'Michelle Williams', 'Naomie Harris']",Tom Hardy
20,American Horror Story,2011–,60 min,8.0,"Drama, Horror, Thriller","298,523","An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, a slasher summer camp, and a bleak beach town and desert valley.","['Lady Gaga', 'Kathy Bates', 'Angela Bassett', 'Sarah Paulson']",Kathy Bates
21,Free Guy,2021,115 min,7.2,"Action, Adventure, Comedy","181,496","A bank teller discovers that he's actually an NPC inside a brutal, open world video game.","['Shawn Levy', 'Ryan Reynolds', 'Jodie Comer', 'Taika Waititi', 'Lil Rel Howery']",Ryan Reynolds
22,Foundation,2021–,60 min,7.3,"Drama, Sci-Fi","22,550",A complex saga of humans scattered on planets throughout the galaxy all living under the rule of the Galactic Empire.,"['Lou Llobell', 'Jared Harris', 'Lee Pace', 'Leah Harvey']",Jared Harris
23,Antlers,2021,99 min,6.4,"Drama, Horror, Mystery","2,666","In an isolated Oregon town, a middle-school teacher and her sheriff brother become embroiled with her enigmatic student, whose dark secrets lead to terrifying encounters with a legendary ancestral creature who came before them.","['Scott Cooper', 'Keri Russell', 'Jesse Plemons', 'Jeremy T. Thomas', 'Graham Greene']",Keri Russell
24,Only Murders in the Building,2021–,30 min,8.2,"Comedy, Crime, Drama","35,701",Three strangers who share an obsession with true crime suddenly find themselves caught up in one.,"['Steve Martin', 'Martin Short', 'Selena Gomez', 'Aaron Dominguez']",Martin Short
25,Hypnotic,2021,88 min,5.2,"Drama, Horror, Mystery","5,898","A young woman seeking self-improvement enlists the help of a renowned hypnotherapist. But after a handful of intense sessions, she discovers unexpected and deadly consequences.","['Matt Angel', 'Suzanne Coote', 'Kate Siegel', ""Jason O'Mara"", 'Dulé Hill', 'Lucie Guest']",Suzanne Coote
26,The Walking Dead,2010–2022,44 min,8.2,"Drama, Horror, Thriller","909,539",Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,"['Andrew Lincoln', 'Norman Reedus', 'Melissa McBride', 'Lauren Cohan']",Norman Reedus
27,Game of Thrones,2011–2019,57 min,9.2,"Action, Adventure, Drama","1,892,759","Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.","['Emilia Clarke', 'Peter Dinklage', 'Kit Harington', 'Lena Headey']",Peter Dinklage
28,Hocus Pocus,1993,96 min,6.9,"Comedy, Family, Fantasy","115,850","A curious youngster moves to Salem, where he struggles to fit in before awakening a trio of diabolical witches that were executed in the 17th century.","['Kenny Ortega', 'Bette Midler', 'Sarah Jessica Parker', 'Kathy Najimy', 'Omri Katz']",Bette Midler
29,Seinfeld,1989–1998,22 min,8.8,Comedy,"275,755",The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,"['Jerry Seinfeld', 'Julia Louis-Dreyfus', 'Michael Richards', 'Jason Alexander']",Julia Louis-Dreyfus
30,Halloween,1978,91 min,7.7,"Horror, Thriller","256,283","Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.","['John Carpenter', 'Donald Pleasence', 'Jamie Lee Curtis', 'Tony Moran', 'Nancy Kyes']",Donald Pleasence
31,Sex Education,2019–,45 min,8.3,"Comedy, Drama","227,719",A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.,"['Asa Butterfield', 'Gillian Anderson', 'Emma Mackey', 'Ncuti Gatwa']",Gillian Anderson
32,Dune,2000,265 min,7.0,"Adventure, Drama, Fantasy","21,681","A three-part miniseries on politics, betrayal, lust, greed and the coming of a Messiah. Based on Frank Herbert's classic science fiction novel.","['William Hurt', 'Alec Newman', 'Giancarlo Giannini', 'Uwe Ochsenknecht']",Alec Newman
33,What We Do in the Shadows,2016–,30 min,8.5,"Comedy, Fantasy, Horror","53,000","A look into the daily (or rather, nightly) lives of three vampires, who've lived together for over 100 years, on Staten Island.","['Kayvan Novak', 'Matt Berry', 'Natasia Demetriou', 'Harvey Guillén']",Matt Berry
34,The Sopranos,1999–2007,55 min,9.2,"Crime, Drama","343,514","New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.","['James Gandolfini', 'Lorraine Bracco', 'Edie Falco', 'Michael Imperioli']",Lorraine Bracco
35,Dopesick,2021–,120 min,8.7,Drama,"4,230","The series takes viewers to the epicenter of America's struggle with opioid addiction, from the boardrooms of Purdue Pharma, to a distressed Virginia mining community, to the hallways of the DEA.","['Michael Keaton', 'Peter Sarsgaard', 'Michael Stuhlbarg', 'Will Poulter']",Peter Sarsgaard
36,Grey's Anatomy,2005–,41 min,7.5,"Drama, Romance","276,984",A drama centered on the personal and professional lives of five surgical interns and their supervisors.,"['Ellen Pompeo', 'Chandra Wilson', 'James Pickens Jr.', 'Justin Chambers']",Chandra Wilson
37,The Morning Show,I 2019–,60 min,8.4,Drama,"76,897","An inside look at the lives of the people who help America wake up in the morning, exploring the unique challenges faced by the men and women who carry out this daily televised ritual.","['Jennifer Aniston', 'Reese Witherspoon', 'Billy Crudup', 'Nestor Carbonell']",Reese Witherspoon
38,The Office,2005–2013,22 min,8.9,Comedy,"479,636","A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.","['Steve Carell', 'Jenna Fischer', 'John Krasinski', 'Rainn Wilson']",Jenna Fischer
39,Chucky,2021–,42 min,7.5,"Horror, Mystery, Thriller","5,161","After a vintage Chucky doll turns up at a suburban yard sale, an idyllic American town is thrown into chaos as a series of horrifying murders begin to expose the town's hypocrisies and secrets.","['Zackary Arthur', 'Brad Dourif', 'Bjorgvin Arnarson', 'Alyvia Alyn Lind']",Brad Dourif
40,The Blacklist,2013–,43 min,8.0,"Crime, Drama, Mystery","221,858","A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.","['James Spader', 'Megan Boone', 'Diego Klattenhoff', 'Ryan Eggold']",Megan Boone
41,Curb Your Enthusiasm,2000–,28 min,8.7,Comedy,"112,502",The life and times of Larry David and the predicaments he gets himself into with his friends and complete strangers.,"['Larry David', 'Larry David', 'Cheryl Hines', 'Jeff Garlin', 'Susie Essman']",Larry David
42,After We Fell,2021,98 min,4.8,Drama,"5,371","Just as Tessa makes the biggest decision of her life, everything changes. Revelations about her family, and then Hardin's, throw everything they knew before in doubt and makes their hard-won future together more difficult to claim.","['Castille Landon', 'Josephine Langford', 'Hero Fiennes Tiffin', 'Louise Lombard', 'Chance Perdomo']",Josephine Langford
43,Undercover,2021–,50 min,8.0,"Action, Crime, Drama","7,859",The story about a woman who joins an organized crime ring and infiltrates the police as an undercover agent in order to find out the truth about her father's death.,"['Hee-soon Park', 'Ahn Bo-Hyun', 'Han So-hee', 'Kim Sang-Ho']",Ahn Bo-Hyun
44,American Crime Story,2016–,42 min,8.4,"Biography, Crime, Drama","88,726",An anthology series centered around America's most notorious crimes and criminals.,"['Sarah Paulson', 'Annaleigh Ashford', 'Sterling K. Brown', 'Kenneth Choi']",Annaleigh Ashford
45,Black Widow,2021,134 min,6.8,"Action, Adventure, Sci-Fi","261,886",Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.,"['Cate Shortland', 'Scarlett Johansson', 'Florence Pugh', 'David Harbour', 'Rachel Weisz']",Scarlett Johansson
46,The Chestnut Man,2021–,50 min,7.8,"Crime, Drama, Mystery","22,869",A young woman is found brutally murdered in a playground and one of her hands is missing. Above her hangs a small man made of chestnuts.,"['Danica Curcic', 'David Dencik', 'Mikkel Boe Følsgaard', 'Iben Dorner']",David Dencik
47,De slag om de Schelde,2020,124 min,7.1,"Drama, War","14,554","1944, the Second World War. A British glider pilot, a Dutch boy fighting on the German side and a Dutch female resistance member all end up involved in the Battle of the Schelde. Their choices differ, but their goal is the same: freedom.","['Matthijs van Heijningen Jr.', 'Gijs Blom', 'Jamie Flatters', 'Susan Radder', 'Jan Bijvoet']",Gijs Blom
48,Old,2021,108 min,5.8,"Drama, Horror, Mystery","60,703","A vacationing family discovers that the secluded beach where they're relaxing for a few hours is somehow causing them to age rapidly, reducing their entire lives into a single day.","['M. Night Shyamalan', 'Gael García Bernal', 'Vicky Krieps', 'Rufus Sewell', 'Alex Wolff']",Gael García Bernal
49,Castle,2009–2016,43 min,8.1,"Comedy, Crime, Drama","148,605","After a serial killer imitates the plots of his novels, successful mystery novelist Richard ""Rick"" Castle receives permission from the Mayor of New York City to tag along with an NYPD homicide investigation team for research purposes.","['Nathan Fillion', 'Stana Katic', 'Susan Sullivan', 'Jon Huertas']",Stana Katic
50,Yellowstone,2018–,60 min,8.6,"Drama, Western","49,860",A ranching family in Montana faces off against others encroaching on their land.,"['Kevin Costner', 'Luke Grimes', 'Kelly Reilly', 'Wes Bentley']",Luke Grimes
51,The Many Saints of Newark,2021,120 min,6.4,"Crime, Drama","32,358","Witness the making of Tony Soprano. The story that reveals the humanity behind Tony's struggles and the influence his family - especially his uncle, Dickie Moltisanti - had over him becoming the most iconic mob boss of all time.","['Alan Taylor', 'Alessandro Nivola', 'Leslie Odom Jr.', 'Jon Bernthal', 'Vera Farmiga']",Alessandro Nivola
52,Friends,1994–2004,22 min,8.8,"Comedy, Romance","907,525",Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.,"['Jennifer Aniston', 'Courteney Cox', 'Lisa Kudrow', 'Matt LeBlanc']",Courteney Cox
53,Lamb,II 2021,106 min,6.4,"Drama, Horror, Mystery","6,103","A childless couple, María and Ingvar discover a mysterious newborn on their farm in Iceland. The unexpected prospect of family life brings them much joy, before ultimately destroying them.","['Valdimar Jóhannsson', 'Noomi Rapace', 'Hilmir Snær Guðnason', 'Björn Hlynur Haraldsson', 'Ingvar Sigurdsson']",Noomi Rapace
54,Peaky Blinders,2014–,60 min,8.8,"Crime, Drama","420,267","A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.","['Cillian Murphy', 'Paul Anderson', 'Helen McCrory', 'Sophie Rundle']",Paul Anderson
55,Shang-Chi and the Legend of the Ten Rings,2021,132 min,7.9,"Action, Adventure, Fantasy","117,797","Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.","['Destin Daniel Cretton', 'Simu Liu', 'Awkwafina', 'Tony Chiu-Wai Leung', 'Ben Kingsley']",Simu Liu
56,NCIS: Naval Criminal Investigative Service,2003–,60 min,7.7,"Action, Crime, Drama","131,812","The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team, led by Special Agent Leroy Jethro Gibbs.","['Mark Harmon', 'David McCallum', 'Sean Murray', 'Pauley Perrette']",David McCallum
57,Scream,1996,111 min,7.3,"Horror, Mystery","309,357","A year after the murder of her mother, a teenage girl is terrorized by a new killer, who targets the girl and her friends by using horror films as part of a deadly game.","['Wes Craven', 'Neve Campbell', 'Courteney Cox', 'David Arquette', 'Skeet Ulrich']",Neve Campbell
58,The Guilty,2021,90 min,6.3,"Crime, Drama, Thriller","78,380",A demoted police officer assigned to a call dispatch desk is conflicted when he receives an emergency phone call from a kidnapped woman.,"['Antoine Fuqua', 'Jake Gyllenhaal', 'Riley Keough', 'Peter Sarsgaard', 'Christina Vidal']",Jake Gyllenhaal
59,Lucifer,2016–2021,42 min,8.1,"Crime, Drama, Fantasy","291,668",Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,"['Tom Ellis', 'Lauren German', 'Kevin Alejandro', 'D.B. Woodside']",Lauren German
60,Ghostbusters: Afterlife,2021,124 min,7.9,"Comedy, Fantasy",278,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.","['Jason Reitman', 'Finn Wolfhard', 'Mckenna Grace', 'Carrie Coon', 'Sigourney Weaver']",Finn Wolfhard
61,Breaking Bad,2008–2013,49 min,9.4,"Crime, Drama, Thriller","1,600,324",A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,"['Bryan Cranston', 'Aaron Paul', 'Anna Gunn', 'Betsy Brandt']",Aaron Paul
62,The Suicide Squad,2021,132 min,7.3,"Action, Adventure, Comedy","235,823","Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.","['James Gunn', 'Margot Robbie', 'Idris Elba', 'John Cena', 'Joel Kinnaman']",Margot Robbie
63,Chicago Fire,2012–,43 min,8.0,"Action, Drama","48,083","The story of firefighters and paramedics in the city of Chicago, both on a personal and professional level.","['Taylor Kinney', 'Christian Stolte', 'Eamonn Walker', 'Joe Minoso']",Christian Stolte
64,Law & Order: Special Victims Unit,1999–,60 min,8.0,"Crime, Drama, Mystery","93,325","This series follows the Special Victims Unit, a specially trained squad of detectives in the N.Y.P.D., who investigate sexually related crimes.","['Mariska Hargitay', 'Christopher Meloni', 'Ice-T', 'Dann Florek']",Christopher Meloni
