,Title,Releasing year,Watch Time,Rating,Genre,Votes,Synopsis,Cast,Director
32,Dune,2000,265 min,7.0,"Adventure, Drama, Fantasy","21,681","A three-part miniseries on politics, betrayal, lust, greed and the coming of a Messiah. Based on Frank Herbert's classic science fiction novel.","['William Hurt', 'Alec Newman', 'Giancarlo Giannini', 'Uwe Ochsenknecht']",Alec Newman
33,What We Do in the Shadows,2016–,30 min,8.5,"Comedy, Fantasy, Horror","53,000","A look into the daily (or rather, nightly) lives of three vampires, who've lived together for over 100 years, on Staten Island.","['Kayvan Novak', 'Matt Berry', 'Natasia Demetriou', 'Harvey Guillén']",Matt Berry
34,The Sopranos,1999–2007,55 min,9.2,"Crime, Drama","343,514","New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.","['James Gandolfini', 'Lorraine Bracco', 'Edie Falco', 'Michael Imperioli']",Lorraine Bracco
35,Dopesick,2021–,120 min,8.7,Drama,"4,230","The series takes viewers to the epicenter of America's struggle with opioid addiction, from the boardrooms of Purdue Pharma, to a distressed Virginia mining community, to the hallways of the DEA.","['Michael Keaton', 'Peter Sarsgaard', 'Michael Stuhlbarg', 'Will Poulter']",Peter Sarsgaard
36,Grey's Anatomy,2005–,41 min,7.5,"Drama, Romance","276,984",A drama centered on the personal and professional lives of five surgical interns and their supervisors.,"['Ellen Pompeo', 'Chandra Wilson', 'James Pickens Jr.', 'Justin Chambers']",Chandra Wilson
37,The Morning Show,I 2019–,60 min,8.4,Drama,"76,897","An inside look at the lives of the people who help America wake up in the morning, exploring the unique challenges faced by the men and women who carry out this daily televised ritual.","['Jennifer Aniston', 'Reese Witherspoon', 'Billy Crudup', 'Nestor Carbonell']",Reese Witherspoon
38,The Office,2005–2013,22 min,8.9,Comedy,"479,636","A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.","['Steve Carell', 'Jenna Fischer', 'John Krasinski', 'Rainn Wilson']",Jenna Fischer
39,Chucky,2021–,42 min,7.5,"Horror, Mystery, Thriller","5,161","After a vintage Chucky doll turns up at a suburban yard sale, an idyllic American town is thrown into chaos as a series of horrifying murders begin to expose the town's hypocrisies and secrets.","['Zackary Arthur', 'Brad Dourif', 'Bjorgvin Arnarson', 'Alyvia Alyn Lind']",Brad Dourif
40,The Blacklist,2013–,43 min,8.0,"Crime, Drama, Mystery","221,858","A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.","['James Spader', 'Megan Boone', 'Diego Klattenhoff', 'Ryan Eggold']",Megan Boone
41,Curb Your Enthusiasm,2000–,28 min,8.7,Comedy,"112,502",The life and times of Larry David and the predicaments he gets himself into with his friends and complete strangers.,"['Larry David', 'Larry David', 'Cheryl Hines', 'Jeff Garlin', 'Susie Essman']",Larry David
42,After We Fell,2021,98 min,4.8,Drama,"5,371","Just as Tessa makes the biggest decision of her life, everything changes. Revelations about her family, and then Hardin's, throw everything they knew before in doubt and makes their hard-won future together more difficult to claim.","['Castille Landon', 'Josephine Langford', 'Hero Fiennes Tiffin', 'Louise Lombard', 'Chance Perdomo']",Josephine Langford
43,Undercover,2021–,50 min,8.0,"Action, Crime, Drama","7,859",The story about a woman who joins an organized crime ring and infiltrates the police as an undercover agent in order to find out the truth about her father's death.,"['Hee-soon Park', 'Ahn Bo-Hyun', 'Han So-hee', 'Kim Sang-Ho']",Ahn Bo-Hyun
44,American Crime Story,2016–,42 min,8.4,"Biography, Crime, Drama","88,726",An anthology series centered around America's most notorious crimes and criminals.,"['Sarah Paulson', 'Annaleigh Ashford', 'Sterling K. Brown', 'Kenneth Choi']",Annaleigh Ashford
45,Black Widow,2021,134 min,6.8,"Action, Adventure, Sci-Fi","261,886",Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.,"['Cate Shortland', 'Scarlett Johansson', 'Florence Pugh', 'David Harbour', 'Rachel Weisz']",Scarlett Johansson
46,The Chestnut Man,2021–,50 min,7.8,"Crime, Drama, Mystery","22,869",A young woman is found brutally murdered in a playground and one of her hands is missing. Above her hangs a small man made of chestnuts.,"['Danica Curcic', 'David Dencik', 'Mikkel Boe Følsgaard', 'Iben Dorner']",David Dencik
47,De slag om de Schelde,2020,124 min,7.1,"Drama, War","14,554","1944, the Second World War. A British glider pilot, a Dutch boy fighting on the German side and a Dutch female resistance member all end up involved in the Battle of the Schelde. Their choices differ, but their goal is the same: freedom.","['Matthijs van Heijningen Jr.', 'Gijs Blom', 'Jamie Flatters', 'Susan Radder', 'Jan Bijvoet']",Gijs Blom
48,Old,2021,108 min,5.8,"Drama, Horror, Mystery","60,703","A vacationing family discovers that the secluded beach where they're relaxing for a few hours is somehow causing them to age rapidly, reducing their entire lives into a single day.","['M. Night Shyamalan', 'Gael García Bernal', 'Vicky Krieps', 'Rufus Sewell', 'Alex Wolff']",Gael García Bernal
49,Castle,2009–2016,43 min,8.1,"Comedy, Crime, Drama","148,605","After a serial killer imitates the plots of his novels, successful mystery novelist Richard ""Rick"" Castle receives permission from the Mayor of New York City to tag along with an NYPD homicide investigation team for research purposes.","['Nathan Fillion', 'Stana Katic', 'Susan Sullivan', 'Jon Huertas']",Stana Katic
50,Yellowstone,2018–,60 min,8.6,"Drama, Western","49,860",A ranching family in Montana faces off against others encroaching on their land.,"['Kevin Costner', 'Luke Grimes', 'Kelly Reilly', 'Wes Bentley']",Luke Grimes
51,The Many Saints of Newark,2021,120 min,6.4,"Crime, Drama","32,358","Witness the making of Tony Soprano. The story that reveals the humanity behind Tony's struggles and the influence his family - especially his uncle, Dickie Moltisanti - had over him becoming the most iconic mob boss of all time.","['Alan Taylor', 'Alessandro Nivola', 'Leslie Odom Jr.', 'Jon Bernthal', 'Vera Farmiga']",Alessandro Nivola
52,Friends,1994–2004,22 min,8.8,"Comedy, Romance","907,525",Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.,"['Jennifer Aniston', 'Courteney Cox', 'Lisa Kudrow', 'Matt LeBlanc']",Courteney Cox
53,Lamb,II 2021,106 min,6.4,"Drama, Horror, Mystery","6,103","A childless couple, María and Ingvar discover a mysterious newborn on their farm in Iceland. The unexpected prospect of family life brings them much joy, before ultimately destroying them.","['Valdimar Jóhannsson', 'Noomi Rapace', 'Hilmir Snær Guðnason', 'Björn Hlynur Haraldsson', 'Ingvar Sigurdsson']",Noomi Rapace
54,Peaky Blinders,2014–,60 min,8.8,"Crime, Drama","420,267","A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.","['Cillian Murphy', 'Paul Anderson', 'Helen McCrory', 'Sophie Rundle']",Paul Anderson
55,Shang-Chi and the Legend of the Ten Rings,2021,132 min,7.9,"Action, Adventure, Fantasy","117,797","Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.","['Destin Daniel Cretton', 'Simu Liu', 'Awkwafina', 'Tony Chiu-Wai Leung', 'Ben Kingsley']",Simu Liu
56,NCIS: Naval Criminal Investigative Service,2003–,60 min,7.7,"Action, Crime, Drama","131,812","The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team, led by Special Agent Leroy Jethro Gibbs.","['Mark Harmon', 'David McCallum', 'Sean Murray', 'Pauley Perrette']",David McCallum
57,Scream,1996,111 min,7.3,"Horror, Mystery","309,357","A year after the murder of her mother, a teenage girl is terrorized by a new killer, who targets the girl and her friends by using horror films as part of a deadly game.","['Wes Craven', 'Neve Campbell', 'Courteney Cox', 'David Arquette', 'Skeet Ulrich']",Neve Campbell
58,The Guilty,2021,90 min,6.3,"Crime, Drama, Thriller","78,380",A demoted police officer assigned to a call dispatch desk is conflicted when he receives an emergency phone call from a kidnapped woman.,"['Antoine Fuqua', 'Jake Gyllenhaal', 'Riley Keough', 'Peter Sarsgaard', 'Christina Vidal']",Jake Gyllenhaal
59,Lucifer,2016–2021,42 min,8.1,"Crime, Drama, Fantasy","291,668",Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,"['Tom Ellis', 'Lauren German', 'Kevin Alejandro', 'D.B. Woodside']",Lauren German
60,Ghostbusters: Afterlife,2021,124 min,7.9,"Comedy, Fantasy",278,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.","['Jason Reitman', 'Finn Wolfhard', 'Mckenna Grace', 'Carrie Coon', 'Sigourney Weaver']",Finn Wolfhard
61,Breaking Bad,2008–2013,49 min,9.4,"Crime, Drama, Thriller","1,600,324",A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,"['Bryan Cranston', 'Aaron Paul', 'Anna Gunn', 'Betsy Brandt']",Aaron Paul
62,The Suicide Squad,2021,132 min,7.3,"Action, Adventure, Comedy","235,823","Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.","['James Gunn', 'Margot Robbie', 'Idris Elba', 'John Cena', 'Joel Kinnaman']",Margot Robbie
63,Chicago Fire,2012–,43 min,8.0,"Action, Drama","48,083","The story of firefighters and paramedics in the city of Chicago, both on a personal and professional level.","['Taylor Kinney', 'Christian Stolte', 'Eamonn Walker', 'Joe Minoso']",Christian Stolte
64,Law & Order: Special Victims Unit,1999–,60 min,8.0,"Crime, Drama, Mystery","93,325","This series follows the Special Victims Unit, a specially trained squad of detectives in the N.Y.P.D., who investigate sexually related crimes.","['Mariska Hargitay', 'Christopher Meloni', 'Ice-T', 'Dann Florek']",Christopher Meloni
65,Another Life,2019–,43 min,5.1,"Adventure, Drama, Mystery","30,829",Astronaut Niko Breckenridge and her young crew face unimaginable danger as they go on a high-risk mission to explore the genesis of an alien artifact.,"['Katee Sackhoff', 'Samuel Anderson', 'A.J. Rivera', 'JayR Tinaco']",Samuel Anderson
66,Sardar Udham,2021,164 min,9.1,"Biography, Crime, Drama","22,524",A biopic detailing the 2 decades that Punjabi Sikh revolutionary Udham Singh spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.,"['Shoojit Sircar', 'Vicky Kaushal', 'Banita Sandhu', 'Shaun Scott', 'Stephen Hogan']",Vicky Kaushal
67,Shameless,2011–2021,46 min,8.5,"Comedy, Drama","219,100","A scrappy, feisty, fiercely loyal Chicago family makes no apologies.","['Emmy Rossum', 'William H. Macy', 'Ethan Cutkosky', 'Jeremy Allen White']",William H. Macy
68,See,2019–,60 min,7.7,"Action, Drama, Sci-Fi","62,295","Far in a dystopian future, the human race has lost the sense of sight, and society has had to find new ways to interact, build, hunt, and to survive. All of that is challenged when a set of twins are born with sight.","['Jason Momoa', 'Sylvia Hoeks', 'Hera Hilmar', 'Christian Camargo']",Sylvia Hoeks
69,Titans,I 2018–,45 min,7.6,"Action, Adventure, Crime","84,407",A team of young superheroes combat evil and other perils.,"['Brenton Thwaites', 'Anna Diop', 'Ryan Potter', 'Teagan Croft']",Anna Diop
70,I onde dager,2021,113 min,6.9,"Action, Comedy, Horror","8,489","A dysfunctional couple head to a remote cabin to reconnect, but each has intentions to kill the other. Before they can carry out their plans, unexpected visitors arrive and they face a greater danger.","['Tommy Wirkola', 'Noomi Rapace', 'Aksel Hennie', 'Atle Antonsen', 'Christian Rubeck']",Noomi Rapace
71,La casa de papel,2017–2021,70 min,8.2,"Action, Crime, Drama","398,555",An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.,"['Úrsula Corberó', 'Álvaro Morte', 'Itziar Ituño', 'Pedro Alonso']",Álvaro Morte
72,Stranger Things,2016–,51 min,8.7,"Drama, Fantasy, Horror","924,426","When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.","['Millie Bobby Brown', 'Finn Wolfhard', 'Winona Ryder', 'David Harbour']",Finn Wolfhard
73,The Witcher,2019–,60 min,8.2,"Action, Adventure, Fantasy","357,229","Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.","['Henry Cavill', 'Anna Shaffer', 'Freya Allan', 'Graham McTavish']",Anna Shaffer
74,Halloween,I 2018,106 min,6.6,"Crime, Horror, Thriller","138,420","Laurie Strode confronts her long-time foe Michael Myers, the masked figure who has haunted her since she narrowly escaped his killing spree on Halloween night four decades ago.","['David Gordon Green', 'Jamie Lee Curtis', 'Judy Greer', 'Andi Matichak', 'James Jude Courtney']",Jamie Lee Curtis
75,Doctor Who,2005–,45 min,8.6,"Adventure, Drama, Family","208,571",The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.,"['Jodie Whittaker', 'Peter Capaldi', 'Pearl Mackie', 'Matt Smith']",Peter Capaldi
76,The Sinner,2017–,45 min,7.9,"Crime, Drama, Mystery","101,048",Anthology series that examines how and why ordinary people commit brutal crimes.,"['Bill Pullman', 'Jessica Hecht', 'Dohn Norwood', 'Adam LeFevre']",Jessica Hecht
77,Dexter,2006–2013,53 min,8.6,"Crime, Drama, Mystery","680,686","He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them. Golden Globe winner Michael C. Hall stars in the hit SHOWTIME Original Series.","['Michael C. Hall', 'Jennifer Carpenter', 'David Zayas', 'James Remar']",Jennifer Carpenter
78,I Know What You Did Last Summer,2021–,45 min,5.3,"Horror, Mystery, Thriller","3,002","In a town full of secrets, a group of teenagers are stalked by a mysterious killer a year after a fatal accident on their graduation night.","['Madison Iseman', 'Brianne Tju', 'Bill Heck', 'Ezekiel Goodman']",Brianne Tju
79,Titane,2021,108 min,6.8,"Drama, Horror, Sci-Fi","12,368","Following a series of unexplained crimes, a father is reunited with the son who has been missing for 10 years. Titane: A metal highly resistant to heat and corrosion, with high tensile strength alloys.","['Julia Ducournau', 'Vincent Lindon', 'Agathe Rousselle', 'Garance Marillier', 'Laïs Salameh']",Vincent Lindon
80,The Haunting of Hill House,2018,572 min,8.6,"Drama, Horror, Mystery","209,715","Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it.","['Michiel Huisman', 'Carla Gugino', 'Henry Thomas', 'Elizabeth Reaser']",Carla Gugino
81,Supernatural,2005–2020,44 min,8.4,"Drama, Fantasy, Horror","412,618","Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.","['Jared Padalecki', 'Jensen Ackles', 'Jim Beaver', 'Misha Collins']",Jensen Ackles
82,The Long Call,2021–,Not given,6.4,"Crime, Drama",728,Follows detective Matthew Venn as he returns to an evangelical community in which he grew up to attend his father's funeral.,"['Ben Aldridge', 'Declan Bennett', 'Siobhán Cullen', 'Pearl Mackie']",Declan Bennett
83,Criminal Minds,2005–2020,42 min,8.1,"Crime, Drama, Mystery","178,962","The cases of the F.B.I. Behavioral Analysis Unit (B.A.U.), an elite group of profilers who analyze the nation's most dangerous serial killers and individual heinous crimes in an effort to anticipate their next moves before they strike again.","['Matthew Gray Gubler', 'Kirsten Vangsness', 'A.J. Cook', 'Joe Mantegna']",Kirsten Vangsness
84,The Black Phone,2021,102 min,8.2,Horror,306,"After being abducted by a child killer and locked in a soundproof basement, a 13-year-old boy starts receiving calls on a disconnected phone from the killer's previous victims.","['Scott Derrickson', 'Ethan Hawke', 'James Ransone', 'Jeremy Davies', 'Madeleine McGraw']",Ethan Hawke
85,The Boys,2019–,60 min,8.7,"Action, Crime, Drama","319,554",A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,"['Karl Urban', 'Jack Quaid', 'Antony Starr', 'Erin Moriarty']",Jack Quaid
86,Blade Runner 2049,2017,164 min,8.0,"Action, Drama, Mystery","508,502","Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.","['Denis Villeneuve', 'Harrison Ford', 'Ryan Gosling', 'Ana de Armas', 'Dave Bautista']",Harrison Ford
87,Doom Patrol,2019–,60 min,7.9,"Action, Adventure, Comedy","44,773",The adventures of an idealistic mad scientist and his field team of superpowered outcasts.,"['April Bowlby', 'Diane Guerrero', 'Joivan Wade', 'Matt Bomer']",Diane Guerrero
88,The Good Doctor,2017–,41 min,8.1,Drama,"79,909","Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital.","['Freddie Highmore', 'Hill Harper', 'Richard Schiff', 'Antonia Thomas']",Hill Harper
89,La Brea,2021–,Not given,5.4,"Drama, Mystery, Sci-Fi","4,469","A massive sinkhole mysteriously opens up in Los Angeles, separating part of a family in an unexplainable primeval world, alongside a desperate group of strangers.","['Natalie Zea', 'Eoin Macken', 'Chiké Okonkwo', 'Karina Logue']",Eoin Macken
90,Vikings,2013–2020,44 min,8.5,"Action, Adventure, Drama","474,891","Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.","['Katheryn Winnick', 'Gustaf Skarsgård', 'Alexander Ludwig', 'Georgia Hirst']",Gustaf Skarsgård
91,A Nightmare on Elm Street,1984,91 min,7.5,Horror,"222,038",The monstrous spirit of a slain child murderer seeks revenge by invading the dreams of teenagers whose parents were responsible for his untimely death.,"['Wes Craven', 'Heather Langenkamp', 'Johnny Depp', 'Robert Englund', 'John Saxon']",Heather Langenkamp
92,Dynasty,2017–,42 min,7.3,Drama,"18,235",Follows two of America's wealthiest families as they feud for control over their fortune and their children.,"['Elizabeth Gillies', 'Rafael de la Fuente', 'Robert Christopher Riley', 'Sam Adegoke']",Rafael de la Fuente
93,The Outlaws,2021–,Not given,7.5,"Comedy, Crime, Drama",662,Seven strangers from different walks of life forced together to complete a community payback sentence in Bristol.,"['Rhianne Barreto', 'Darren Boyd', 'Gamba Cole', 'Clare Perkins']",Darren Boyd
94,Riverdale,2017–,45 min,6.7,"Crime, Drama, Mystery","131,642","While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries.","['K.J. Apa', 'Lili Reinhart', 'Camila Mendes', 'Cole Sprouse']",Lili Reinhart
95,Ron's Gone Wrong,2021,106 min,7.2,"Animation, Adventure, Comedy","2,425","The story of Barney, an awkward middle-schooler and Ron, his new walking, talking, digitally-connected device. Ron's malfunctions set against the backdrop of the social media age launch them on a journey to learn about true friendship.","['Sarah Smith', 'Jean-Philippe Vine', 'Octavio E. Rodriguez', 'Jack Dylan Grazer', 'Zach Galifianakis', 'Ed Helms', 'Olivia Colman']",Jean-Philippe Vine
96,The Nightmare Before Christmas,1993,76 min,8.0,"Animation, Family, Fantasy","314,843","Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.","['Henry Selick', 'Danny Elfman', 'Chris Sarandon', ""Catherine O'Hara"", 'William Hickey']",Danny Elfman
97,Ghosts,2021–,Not given,7.2,"Comedy, Fantasy","2,728","A young couple, whose dreams come true when they inherit a beautiful country house, only to find it's both falling apart and inhabited by many of the deceased previous residents.","['Utkarsh Ambudkar', 'Rose McIver', 'Brandon Scott Jones', 'Richie Moriarty']",Rose McIver
98,Cruella,2021,134 min,7.4,"Adventure, Comedy, Crime","181,254",A live-action prequel feature film following a young Cruella de Vil.,"['Craig Gillespie', 'Emma Stone', 'Emma Thompson', 'Joel Fry', 'Paul Walter Hauser']",Emma Stone
99,Fear the Walking Dead,2015–,44 min,6.9,"Drama, Horror, Sci-Fi","121,256","A Walking Dead spinoff set in Los Angeles, California. Follows two families who must band together to survive the undead apocalypse.","['Kim Dickens', 'Frank Dillane', 'Cliff Curtis', 'Rubén Blades']",Frank Dillane
